	t	x	y
	685	8.65705e+06	9859.81
	686	8.63587e+06	9989.57
	687	8.61441e+06	10119.8
	688	8.5927e+06	10250.3
	689	8.57072e+06	10381.2
	690	8.54849e+06	10512.4
	691	8.526e+06	10643.9
	692	8.50326e+06	10775.6
	693	8.48027e+06	10907.5
	694	8.45703e+06	11039.6
	695	8.43355e+06	11171.7
	696	8.40983e+06	11304
	697	8.38587e+06	11436.2
	698	8.36168e+06	11568.4
	699	8.33725e+06	11700.6
	700	8.31259e+06	11832.7
	701	8.28771e+06	11964.6
	702	8.26261e+06	12096.4
	703	8.23729e+06	12227.9
	704	8.21175e+06	12359.2
	705	8.186e+06	12490.1
	706	8.16004e+06	12620.7
	707	8.13387e+06	12750.9
	708	8.10751e+06	12880.7
	709	8.08094e+06	13010
	710	8.05418e+06	13138.7
	711	8.02723e+06	13266.9
	712	8.0001e+06	13394.5
	713	7.97278e+06	13521.4
	714	7.94528e+06	13647.6
	715	7.91761e+06	13773.1
	716	7.88976e+06	13897.8
	717	7.86175e+06	14021.7
	718	7.83358e+06	14144.8
	719	7.80525e+06	14266.9
	720	7.77676e+06	14388.1
	721	7.79055e+06	10183.5
	722	7.80273e+06	10296
	723	7.81336e+06	10409.4
	724	7.82247e+06	10523.5
	725	7.83013e+06	10638.3
	726	7.83637e+06	10753.7
	727	7.84125e+06	10869.8
	728	7.8448e+06	10986.4
	729	7.84708e+06	11103.6
	730	7.84811e+06	11221.2
	731	7.84795e+06	11339.3
	732	7.84664e+06	11457.8
	733	7.84421e+06	11576.6
	734	7.84071e+06	11695.6
	735	7.83616e+06	11815
	736	7.83062e+06	11934.5
	737	7.8241e+06	12054.2
	738	7.81665e+06	12174.1
	739	7.8083e+06	12294
	740	7.79907e+06	12413.9
	741	7.78901e+06	12533.7
	742	7.77814e+06	12653.6
	743	7.76649e+06	12773.2
	744	7.75409e+06	12892.8
	745	7.74096e+06	13012.1
	746	7.72713e+06	13131.2
	747	7.71263e+06	13249.9
	748	7.69748e+06	13368.4
	749	7.68171e+06	13486.4
	750	7.66533e+06	13604
	751	7.64837e+06	13721.1
	752	7.63085e+06	13837.7
	753	7.61279e+06	13953.8
	754	7.59421e+06	14069.2
	755	7.57513e+06	14184
	756	7.55557e+06	14298.1
	757	7.53555e+06	14411.5
	758	7.51509e+06	14524.2
	759	7.49419e+06	14636
	760	7.47288e+06	14746.9
	761	7.45118e+06	14857
	762	7.4291e+06	14966.2
	763	7.40665e+06	15074.4
	764	7.38385e+06	15181.7
	765	7.36071e+06	15287.9
	766	7.33725e+06	15393
	767	7.31348e+06	15497.1
	768	7.28942e+06	15600.1
	769	7.26506e+06	15701.9
	770	7.24044e+06	15802.5
	771	7.21556e+06	15901.9
	772	7.19043e+06	16000
	773	7.16506e+06	16096.9
	774	7.13946e+06	16192.5
	775	7.11365e+06	16286.8
	776	7.08763e+06	16379.8
	777	7.06142e+06	16471.4
	778	7.03502e+06	16561.6
	779	7.00844e+06	16650.4
	780	6.9817e+06	16737.8
	781	6.9548e+06	16823.7
	782	6.92775e+06	16908.2
	783	6.90057e+06	16991.2
	784	6.87325e+06	17072.7
	785	6.8458e+06	17152.7
	786	6.81825e+06	17231.2
	787	6.79058e+06	17308.2
	788	6.76281e+06	17383.6
	789	6.73496e+06	17457.4
	790	6.70701e+06	17529.7
	791	6.67899e+06	17600.5
	792	6.6509e+06	17669.6
	793	6.62275e+06	17737.2
	794	6.59453e+06	17803.2
	795	6.56627e+06	17867.5
	796	6.53796e+06	17930.3
	797	6.50961e+06	17991.5
	798	6.48123e+06	18051.1
	799	6.45282e+06	18109.1
	800	6.42439e+06	18165.5
	801	6.39595e+06	18220.3
	802	6.36749e+06	18273.5
	803	6.33903e+06	18325.1
	804	6.31057e+06	18375.1
	805	6.28212e+06	18423.5
	806	6.25368e+06	18470.3
	807	6.22525e+06	18515.6
	808	6.19684e+06	18559.3
	809	6.16846e+06	18601.4
	810	6.1401e+06	18642
	811	6.16711e+06	13122.6
	812	6.19298e+06	13196.3
	813	6.2177e+06	13270.6
	814	6.24129e+06	13345.5
	815	6.26374e+06	13420.8
	816	6.28507e+06	13496.6
	817	6.30528e+06	13572.7
	818	6.32439e+06	13649.3
	819	6.3424e+06	13726.2
