	t	x	y
	400	9.99741e+06	17.6242
	401	9.9974e+06	18.0196
	402	9.99739e+06	18.4238
	403	9.99738e+06	18.837
	404	9.99737e+06	19.2595
	405	9.99735e+06	19.6915
	406	9.99733e+06	20.1332
	407	9.9973e+06	20.5848
	408	9.99728e+06	21.0465
	409	9.99724e+06	21.5185
	410	9.99721e+06	22.0011
	411	9.99718e+06	22.4946
	412	9.99714e+06	22.9991
	413	9.9971e+06	23.5149
	414	9.99706e+06	24.0422
	415	9.99701e+06	24.5814
	416	9.99696e+06	25.1327
	417	9.99691e+06	25.6963
	418	9.99686e+06	26.2725
	419	9.99681e+06	26.8616
	420	9.99675e+06	27.464
	421	9.99669e+06	28.0798
	422	9.99663e+06	28.7094
	423	9.99657e+06	29.3532
	424	9.9965e+06	30.0113
	425	9.99643e+06	30.6842
	426	9.99636e+06	31.3722
	427	9.99629e+06	32.0755
	428	9.99622e+06	32.7946
	429	9.99614e+06	33.5298
	430	9.99606e+06	34.2815
	431	9.99598e+06	35.05
	432	9.99589e+06	35.8357
	433	9.99581e+06	36.639
	434	9.99572e+06	37.4603
	435	9.99563e+06	38.2999
	436	9.99554e+06	39.1584
	437	9.99544e+06	40.036
	438	9.99534e+06	40.9333
	439	9.99524e+06	41.8507
	440	9.99514e+06	42.7886
	441	9.99504e+06	43.7475
	442	9.99493e+06	44.7279
	443	9.99482e+06	45.7301
	444	9.9947e+06	46.7548
	445	9.99459e+06	47.8024
	446	9.99447e+06	48.8734
	447	9.99435e+06	49.9684
	448	9.99422e+06	51.0879
	449	9.9941e+06	52.2324
	450	9.99397e+06	53.4024
	451	9.99383e+06	54.5987
	452	9.9937e+06	55.8217
	453	9.99356e+06	57.072
	454	9.99341e+06	58.3502
	455	9.99327e+06	59.657
	456	9.99312e+06	60.993
	457	9.99297e+06	62.3589
	458	9.99281e+06	63.7552
	459	9.99265e+06	65.1828
	460	9.99249e+06	66.6422
	461	9.99232e+06	68.1342
	462	9.99215e+06	69.6596
	463	9.99197e+06	71.219
	464	9.99179e+06	72.8131
	465	9.99161e+06	74.4429
	466	9.99142e+06	76.1091
	467	9.99123e+06	77.8124
	468	9.99103e+06	79.5537
	469	9.99083e+06	81.3339
	470	9.99063e+06	83.1538
	471	9.99042e+06	85.0142
	472	9.99021e+06	86.9162
	473	9.98999e+06	88.8605
	474	9.98976e+06	90.8482
	475	9.98953e+06	92.8802
	476	9.9893e+06	94.9575
	477	9.98906e+06	97.081
	478	9.98882e+06	99.2519
	479	9.98857e+06	101.471
	480	9.98831e+06	103.74
	481	9.98805e+06	106.059
	482	9.98778e+06	108.43
	483	9.98751e+06	110.853
	484	9.98723e+06	113.331
	485	9.98694e+06	115.863
	486	9.98665e+06	118.452
	487	9.98635e+06	121.098
	488	9.98605e+06	123.804
	489	9.98573e+06	126.569
	490	9.98542e+06	129.396
	491	9.98509e+06	132.286
	492	9.98476e+06	135.24
	493	9.98442e+06	138.259
	494	9.98407e+06	141.346
	495	9.98371e+06	144.501
	496	9.98335e+06	147.726
	497	9.98297e+06	151.023
	498	9.98259e+06	154.392
	499	9.9822e+06	157.837
	500	9.98181e+06	161.358
	501	9.9814e+06	164.956
	502	9.98098e+06	168.635
	503	9.98056e+06	172.395
	504	9.98012e+06	176.238
	505	9.97968e+06	180.167
	506	9.97923e+06	184.182
	507	9.97876e+06	188.286
	508	9.97829e+06	192.481
	509	9.9778e+06	196.769
	510	9.97731e+06	201.151
	511	9.9768e+06	205.631
	512	9.97628e+06	210.209
	513	9.97575e+06	214.888
	514	9.97521e+06	219.67
	515	9.97466e+06	224.558
	516	9.97409e+06	229.554
	517	9.97351e+06	234.66
	518	9.97292e+06	239.878
	519	9.97232e+06	245.212
	520	9.9717e+06	250.662
	521	9.97107e+06	256.233
	522	9.97042e+06	261.926
	523	9.96976e+06	267.744
	524	9.96909e+06	273.69
	525	9.9684e+06	279.767
	526	9.9677e+06	285.977
	527	9.96698e+06	292.324
	528	9.96624e+06	298.809
	529	9.96549e+06	305.437
	530	9.96472e+06	312.21
	531	9.96393e+06	319.131
	532	9.96313e+06	326.203
	533	9.96231e+06	333.431
	534	9.96147e+06	340.816
	535	9.96061e+06	348.363
	536	9.95974e+06	356.074
	537	9.95884e+06	363.953
	538	9.95793e+06	372.005
	539	9.95699e+06	380.231
	540	9.95603e+06	388.637
	541	9.95791e+06	99.3249
	542	9.95964e+06	101.539
	543	9.96124e+06	103.803
	544	9.96272e+06	106.117
	545	9.96408e+06	108.483
	546	9.96533e+06	110.902
	547	9.96647e+06	113.375
	548	9.96752e+06	115.904
	549	9.96847e+06	118.489
	550	9.96934e+06	121.131
	551	9.97013e+06	123.833
	552	9.97084e+06	126.594
	553	9.97148e+06	129.418
	554	9.97205e+06	132.304
	555	9.97255e+06	135.255
	556	9.97299e+06	138.271
	557	9.97338e+06	141.354
	558	9.97371e+06	144.506
	559	9.97399e+06	147.728
	560	9.97422e+06	151.022
	561	9.9744e+06	154.388
	562	9.97454e+06	157.83
	563	9.97463e+06	161.348
	564	9.97469e+06	164.944
	565	9.9747e+06	168.62
	566	9.97468e+06	172.378
	567	9.97462e+06	176.218
	568	9.97453e+06	180.144
	569	9.97441e+06	184.157
	570	9.97426e+06	188.259
	571	9.97407e+06	192.451
	572	9.97386e+06	196.736
	573	9.97361e+06	201.116
	574	9.97335e+06	205.593
	575	9.97305e+06	210.169
	576	9.97273e+06	214.846
	577	9.97238e+06	219.626
	578	9.97201e+06	224.511
	579	9.97161e+06	229.505
	580	9.9712e+06	234.608
	581	9.97075e+06	239.824
	582	9.97029e+06	245.155
	583	9.9698e+06	250.603
	584	9.96929e+06	256.172
	585	9.96876e+06	261.862
	586	9.96821e+06	267.678
	587	9.96764e+06	273.622
	588	9.96704e+06	279.696
	589	9.96642e+06	285.904
	590	9.96579e+06	292.248
	591	9.96513e+06	298.731
	592	9.96445e+06	305.357
	593	9.96375e+06	312.127
	594	9.96302e+06	319.046
	595	9.96228e+06	326.116
	596	9.96151e+06	333.34
	597	9.96073e+06	340.723
	598	9.95992e+06	348.267
	599	9.95909e+06	355.976
	600	9.95823e+06	363.853
	601	9.95736e+06	371.901
	602	9.95646e+06	380.125
	603	9.95554e+06	388.528
	604	9.95459e+06	397.114
	605	9.95363e+06	405.887
	606	9.95263e+06	414.85
	607	9.95162e+06	424.008
	608	9.95058e+06	433.365
	609	9.94951e+06	442.924
	610	9.94842e+06	452.691
	611	9.9473e+06	462.669
	612	9.94616e+06	472.863
	613	9.94499e+06	483.277
	614	9.94379e+06	493.915
	615	9.94257e+06	504.784
	616	9.94131e+06	515.886
	617	9.94003e+06	527.228
	618	9.93872e+06	538.814
	619	9.93738e+06	550.648
	620	9.93601e+06	562.737
	621	9.93461e+06	575.085
	622	9.93317e+06	587.698
	623	9.93171e+06	600.581
	624	9.93021e+06	613.739
	625	9.92868e+06	627.178
	626	9.92711e+06	640.903
	627	9.92551e+06	654.922
	628	9.92388e+06	669.238
	629	9.9222e+06	683.859
	630	9.9205e+06	698.791
	631	9.91875e+06	714.039
	632	9.91697e+06	729.61
	633	9.91514e+06	745.51
	634	9.91328e+06	761.746
	635	9.91138e+06	778.325
	636	9.90943e+06	795.253
	637	9.90744e+06	812.537
	638	9.90541e+06	830.184
	639	9.90334e+06	848.201
	640	9.90122e+06	866.595
	641	9.89905e+06	885.373
	642	9.89684e+06	904.544
	643	9.89458e+06	924.114
	644	9.89227e+06	944.092
	645	9.88991e+06	964.484
	646	9.88751e+06	985.299
	647	9.88505e+06	1006.54
	648	9.88253e+06	1028.23
	649	9.87997e+06	1050.36
	650	9.87735e+06	1072.95
	651	9.87467e+06	1096
	652	9.87194e+06	1119.52
	653	9.86914e+06	1143.52
	654	9.86629e+06	1168.02
	655	9.86338e+06	1193.01
	656	9.86041e+06	1218.51
	657	9.85737e+06	1244.53
	658	9.85427e+06	1271.07
	659	9.85111e+06	1298.15
	660	9.84788e+06	1325.78
	661	9.84458e+06	1353.96
	662	9.84121e+06	1382.7
	663	9.83777e+06	1412.02
	664	9.83426e+06	1441.92
	665	9.83067e+06	1472.42
	666	9.82701e+06	1503.52
	667	9.82328e+06	1535.24
	668	9.81947e+06	1567.58
	669	9.81558e+06	1600.55
	670	9.8116e+06	1634.18
	671	9.80755e+06	1668.45
	672	9.80341e+06	1703.4
	673	9.79919e+06	1739.02
	674	9.79488e+06	1775.34
	675	9.79048e+06	1812.35
	676	9.786e+06	1850.07
	677	9.78142e+06	1888.52
	678	9.77675e+06	1927.69
	679	9.77198e+06	1967.62
	680	9.76712e+06	2008.29
	681	9.76216e+06	2049.74
	682	9.7571e+06	2091.96
	683	9.75193e+06	2134.97
	684	9.74667e+06	2178.78
	685	9.7413e+06	2223.41
	686	9.73582e+06	2268.85
	687	9.73023e+06	2315.14
	688	9.72453e+06	2362.27
	689	9.71872e+06	2410.25
	690	9.71279e+06	2459.11
	691	9.70675e+06	2508.85
	692	9.70059e+06	2559.48
	693	9.6943e+06	2611.01
	694	9.6879e+06	2663.46
	695	9.68137e+06	2716.83
	696	9.67471e+06	2771.14
	697	9.66793e+06	2826.4
	698	9.66101e+06	2882.62
	699	9.65396e+06	2939.81
	700	9.64678e+06	2997.97
	701	9.63946e+06	3057.13
	702	9.632e+06	3117.29
	703	9.6244e+06	3178.47
	704	9.61665e+06	3240.66
	705	9.60876e+06	3303.89
	706	9.60072e+06	3368.15
	707	9.59253e+06	3433.47
	708	9.58419e+06	3499.85
	709	9.5757e+06	3567.3
	710	9.56705e+06	3635.83
	711	9.55824e+06	3705.44
	712	9.54927e+06	3776.15
	713	9.54013e+06	3847.96
	714	9.53083e+06	3920.88
	715	9.52136e+06	3994.92
	716	9.51173e+06	4070.09
	717	9.50192e+06	4146.38
	718	9.49193e+06	4223.81
	719	9.48177e+06	4302.39
	720	9.47143e+06	4382.11
	721	9.4931e+06	1118.07
	722	9.51329e+06	1141.11
	723	9.53207e+06	1164.67
	724	9.54952e+06	1188.74
	725	9.56571e+06	1213.33
	726	9.58069e+06	1238.46
	727	9.59455e+06	1264.12
	728	9.60733e+06	1290.34
	729	9.61908e+06	1317.11
	730	9.62988e+06	1344.45
	731	9.63976e+06	1372.37
	732	9.64877e+06	1400.87
	733	9.65696e+06	1429.97
	734	9.66438e+06	1459.67
	735	9.67105e+06	1489.98
	736	9.67703e+06	1520.91
	737	9.68234e+06	1552.48
	738	9.68702e+06	1584.68
	739	9.6911e+06	1617.54
	740	9.69461e+06	1651.06
	741	9.69758e+06	1685.25
	742	9.70004e+06	1720.12
	743	9.702e+06	1755.69
	744	9.7035e+06	1791.95
	745	9.70455e+06	1828.93
	746	9.70518e+06	1866.64
	747	9.70539e+06	1905.07
	748	9.70522e+06	1944.26
	749	9.70468e+06	1984.2
	750	9.70378e+06	2024.9
	751	9.70253e+06	2066.38
	752	9.70096e+06	2108.66
	753	9.69906e+06	2151.73
	754	9.69686e+06	2195.61
	755	9.69437e+06	2240.32
	756	9.69158e+06	2285.86
	757	9.68853e+06	2332.24
	758	9.6852e+06	2379.48
	759	9.68161e+06	2427.58
	760	9.67777e+06	2476.57
	761	9.67368e+06	2526.44
	762	9.66935e+06	2577.21
	763	9.66479e+06	2628.89
	764	9.66e+06	2681.5
	765	9.65498e+06	2735.04
	766	9.64973e+06	2789.52
	767	9.64427e+06	2844.96
	768	9.6386e+06	2901.37
	769	9.63272e+06	2958.75
	770	9.62662e+06	3017.12
	771	9.62032e+06	3076.48
	772	9.61382e+06	3136.86
	773	9.60711e+06	3198.25
	774	9.60021e+06	3260.67
	775	9.5931e+06	3324.13
	776	9.5858e+06	3388.63
	777	9.57829e+06	3454.19
	778	9.5706e+06	3520.82
	779	9.5627e+06	3588.52
	780	9.55461e+06	3657.3
	781	9.54632e+06	3727.17
	782	9.53784e+06	3798.15
	783	9.52916e+06	3870.23
	784	9.52029e+06	3943.42
	785	9.51122e+06	4017.74
	786	9.50195e+06	4093.19
	787	9.49249e+06	4169.77
	788	9.48282e+06	4247.49
	789	9.47296e+06	4326.35
	790	9.4629e+06	4406.37
	791	9.45263e+06	4487.54
	792	9.44217e+06	4569.87
	793	9.4315e+06	4653.37
	794	9.42063e+06	4738.03
	795	9.40955e+06	4823.86
	796	9.39826e+06	4910.87
	797	9.38677e+06	4999.04
	798	9.37507e+06	5088.39
	799	9.36316e+06	5178.91
	800	9.35104e+06	5270.61
	801	9.3387e+06	5363.48
	802	9.32615e+06	5457.52
	803	9.31338e+06	5552.73
	804	9.3004e+06	5649.11
	805	9.2872e+06	5746.65
	806	9.27378e+06	5845.34
	807	9.26013e+06	5945.19
	808	9.24627e+06	6046.18
	809	9.23218e+06	6148.32
	810	9.21786e+06	6251.58
	811	9.20332e+06	6355.97
	812	9.18855e+06	6461.48
	813	9.17356e+06	6568.09
	814	9.15833e+06	6675.79
	815	9.14287e+06	6784.57
	816	9.12718e+06	6894.43
	817	9.11125e+06	7005.34
	818	9.09509e+06	7117.29
	819	9.0787e+06	7230.27
	820	9.06207e+06	7344.26
	821	9.0452e+06	7459.24
	822	9.02809e+06	7575.2
	823	9.01074e+06	7692.11
	824	8.99316e+06	7809.96
	825	8.97533e+06	7928.73
	826	8.95727e+06	8048.38
	827	8.93896e+06	8168.91
	828	8.92041e+06	8290.29
	829	8.90163e+06	8412.49
	830	8.88259e+06	8535.49
	831	8.86332e+06	8659.26
	832	8.84381e+06	8783.77
	833	8.82405e+06	8909
	834	8.80405e+06	9034.91
	835	8.78381e+06	9161.49
	836	8.76333e+06	9288.68
	837	8.74261e+06	9416.48
	838	8.72165e+06	9544.83
	839	8.70044e+06	9673.72
	840	8.679e+06	9803.1
	841	8.65732e+06	9932.95
	842	8.63541e+06	10063.2
	843	8.61326e+06	10193.9
	844	8.59087e+06	10324.9
	845	8.56825e+06	10456.2
	846	8.5454e+06	10587.8
	847	8.52231e+06	10719.7
	848	8.499e+06	10851.7
	849	8.47546e+06	10983.9
	850	8.45169e+06	11116.2
	851	8.4277e+06	11248.6
	852	8.40348e+06	11381.1
	853	8.37905e+06	11513.5
	854	8.3544e+06	11645.9
	855	8.32953e+06	11778.2
	856	8.30445e+06	11910.4
	857	8.27916e+06	12042.4
	858	8.25366e+06	12174.2
	859	8.22796e+06	12305.7
	860	8.20205e+06	12437
	861	8.17594e+06	12567.9
	862	8.14964e+06	12698.4
	863	8.12314e+06	12828.4
	864	8.09645e+06	12958.1
	865	8.06958e+06	13087.2
	866	8.04252e+06	13215.7
	867	8.01528e+06	13343.7
	868	7.98786e+06	13471
	869	7.96027e+06	13597.6
	870	7.93251e+06	13723.5
	871	7.90458e+06	13848.7
	872	7.87649e+06	13973
	873	7.84824e+06	14096.5
	874	7.81984e+06	14219.1
	875	7.79129e+06	14340.8
	876	7.76259e+06	14461.6
	877	7.73375e+06	14581.3
	878	7.70477e+06	14700
	879	7.67566e+06	14817.6
	880	7.64642e+06	14934.2
	881	7.61705e+06	15049.6
	882	7.58756e+06	15163.8
	883	7.55796e+06	15276.8
	884	7.52824e+06	15388.6
	885	7.49842e+06	15499.1
	886	7.46849e+06	15608.3
	887	7.43847e+06	15716.2
	888	7.40835e+06	15822.8
	889	7.37814e+06	15927.9
	890	7.34785e+06	16031.6
	891	7.31747e+06	16133.9
	892	7.28702e+06	16234.8
	893	7.2565e+06	16334.1
	894	7.22592e+06	16432
	895	7.19527e+06	16528.3
	896	7.16457e+06	16623.1
	897	7.13381e+06	16716.3
	898	7.103e+06	16807.9
	899	7.07215e+06	16897.9
	900	7.04127e+06	16986.3
	901	7.13616e+06	4302.58
	902	7.22783e+06	4360.08
	903	7.31624e+06	4419.06
	904	7.40137e+06	4479.54
	905	7.48322e+06	4541.52
	906	7.56179e+06	4605
	907	7.63708e+06	4669.98
	908	7.70913e+06	4736.45
	909	7.77796e+06	4804.43
	910	7.84361e+06	4873.9
	911	7.90613e+06	4944.87
	912	7.96556e+06	5017.32
	913	8.02198e+06	5091.27
	914	8.07543e+06	5166.69
	915	8.126e+06	5243.59
	916	8.17373e+06	5321.96
	917	8.21871e+06	5401.8
	918	8.26102e+06	5483.09
	919	8.30072e+06	5565.83
	920	8.33789e+06	5650.01
	921	8.37261e+06	5735.62
	922	8.40497e+06	5822.65
	923	8.43502e+06	5911.09
	924	8.46287e+06	6000.93
	925	8.48857e+06	6092.16
	926	8.5122e+06	6184.76
	927	8.53384e+06	6278.73
	928	8.55356e+06	6374.04
	929	8.57143e+06	6470.69
	930	8.58751e+06	6568.65
	931	8.60189e+06	6667.92
